file	sample	row	col	block	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
D3	yH156	D	3	A1	D3	17659	17087	16913	577873	980	134	843.2715462775791	119.74501974603538
D4	B18	D	4	A4	D4	30000	29242	28317	534088	1831.9998779296875	19773.00390625	1943.9036966684546	21210.428094677987
D5	B18	D	5	A4	D5	30000	29155	28203	541492	1879.0001220703125	21960.994140625	1932.346192280827	22908.03948933314
D6	yH156	D	6	A4	D6	20899	19778	19604	601159.5	1042.5001831054688	140.00001525878906	847.9403318464567	118.21873145920823
D7	B18	D	7	A7	D7	30000	29047	28083	556020	1872.999755859375	24796.99609375	1837.2155183580583	24669.770247947963
D8	B18	D	8	A7	D8	30000	29096	28081	550475	1823.0001220703125	24874.001953125	1819.2559198521385	25102.663757571052
D9	yH156	D	9	A7	D9	25046	23471	23275	611515	1068.000244140625	146	835.3391814931081	120.09750290788647
D10	B18	D	10	A10	D10	30000	28784	27770	571023	1961.999755859375	28766.5	1842.1742637345747	27296.369452387687
D11	B18	D	11	A10	D11	30000	28893	27881	565461	1869.999755859375	29483.005859375	1771.3884648633662	28263.538030024803
D12	yH156	D	12	A10	D12	16038	15025	14902	617543.5	1152.9998779296875	157.99998474121094	882.5969430214578	128.44688809116207
E1	B18	E	1	E1	E1	30000	29640	28772	496975	1946	21984.998046875	2259.464641012267	25926.67399674974
E2	B18	E	2	E1	E2	30000	29556	28617	516481	1884.9996337890625	21039.005859375	2066.275702273266	23459.1694275188
E3	B18	E	3	E1	E3	30000	29532	28594	528171.5	1951.5001220703125	22246.498046875	2055.6405741354683	23852.08786325799
E4	B18	E	4	E4	E4	30000	29216	28270	541104	1894.000244140625	23167.0029296875	1954.211375151685	24241.254903293768
E5	B18	E	5	E4	E5	30000	29102	28071	548818	1930.9998779296875	25526.994140625	1949.7360083333838	25920.58197027594
E6	B18	E	6	E4	E6	30000	29063	28085	553060	1978.0003662109375	26652.001953125	1951.3842821129765	26782.570427434563
E7	B18	E	7	E7	E7	30000	28964	27900	555164.5	1895.0003662109375	28124.505859375	1840.1969457277023	27715.601605039563
E8	B18	E	8	E7	E8	30000	28839	27772	563563.5	1919.0003662109375	29883.0029296875	1836.2511415553802	28922.77184739955
E9	B18	E	9	E7	E9	30000	28856	27820	565395.5	1961.999755859375	30897.49609375	1851.4530998294376	29492.575272414033
E10	B18	E	10	E10	E10	30000	28893	27833	559906	1847.0001220703125	32217.9921875	1777.2178783129616	31407.7857287108
E11	B18	E	11	E10	E11	30000	28744	27679	580005	1920.0001220703125	36226.00390625	1739.7766871875824	32847.46586132375
E12	B18	E	12	E10	E12	30000	28976	27908	556140	2049.499755859375	43296.501953125	1974.1181322231841	41948.101120923806
F1	B18	F	1	E1	F1	30000	29721	28844	489287.5	1877.0001220703125	23148.50390625	2248.149483226236	28232.049035351985
F2	B18	F	2	E1	F2	30000	29559	28555	506859	1791.9996337890625	22225.998046875	2037.8119942320106	25537.481225234907
F3	yH156	F	3	E1	F3	21704	21062	20861	564436	917.99981689453125	133	824.1556463553909	121.59426334124522
F4	B18	F	4	E4	F4	30000	29340	28284	540752.5	1886.4996337890625	25612.00390625	1928.7952539689022	26754.382027410866
F5	B18	F	5	E4	F5	30000	29226	28165	548455	1943.0003662109375	29000.998046875	1959.5978974135032	29394.58498833022
F6	yH156	F	6	E4	F6	23120	21844	21651	599003	1026.9998779296875	143	835.7766416194577	120.89364020050336
F7	B18	F	7	E7	F7	30000	29068	27977	551925	1856	30576	1851.8674417026677	30854.881806811733
F8	B18	F	8	E7	F8	30000	28853	27781	567399	1913.9998779296875	33092.00390625	1811.252373984517	31658.807095872373
F9	yH156	F	9	E7	F9	27316	25410	25187	619448	1079.9998779296875	149.99998474121094	825.0522687055553	120.9853057562185
F10	B18	F	10	E10	F10	30000	28695	27589	579149	1970.99951171875	38201.99609375	1778.9487244548652	34966.445896449986
F11	B18	F	11	E10	F11	30000	28662	27521	578695	1943.999755859375	41368.00390625	1759.5748317927764	37984.722690651986
F12	yH156	F	12	E10	F12	23173	21534	21354	623936	1086.0001220703125	160.99998474121094	825.638243219599	129.23678379384495
G1	Neg	G	1	E1	G1	18	4	4	242039	1316.0000610351562	1051.9999694824219	4848.732869463059	6397.11848312471
G2	B18	G	2	E1	G2	30000	29553	28494	521333	1874.000244140625	26306.4990234375	2050.060438267048	29001.604475167107
G3	B18	G	3	E1	G3	30000	29621	28527	528137	1875.0003662109375	26816.001953125	1994.3156562294002	28937.028595565826
G4	B18	G	4	E4	G4	30000	29243	28170	543303	1899.00048828125	28997.0009765625	1956.338739110481	30166.44315083221
G5	B18	G	5	E4	G5	30000	29124	27982	553639	1905	32182.99609375	1906.0803582217163	32375.143635203138
G6	B18	G	6	E4	G6	30000	28988	27893	562698	2015.000244140625	34924.99609375	1936.1580299179777	34012.13347458446
G7	B18	G	7	E7	G7	30000	28846	27722	572573.5	1947	35428.498046875	1830.5277609975665	33327.66652304585
G8	B18	G	8	E7	G8	30000	28728	27564	579021.5	1980.4999389648438	39085.001953125	1816.7242670316018	36313.64191659613
G9	B18	G	9	E7	G9	30000	28792	27663	581795	2082	41964.9921875	1884.7334715632664	38282.59679431272
G10	Neg	G	10	E10	G10	18	7	7	272763	1140.9998779296875	21634.001953125	2526.8299318335607	40427.608708764536
G11	B18	G	11	E10	G11	30000	28464	27396	595181.5	2097.999755859375	51915.0078125	1797.611964515539	44660.58091683284
G12	B18	G	12	E10	G12	30000	28722	27563	582876	2243.99951171875	65549.9921875	1971.4503341780828	58019.000841834044
H1	B18	H	1	E1	H1	30000	29796	28762	476858	1841.000244140625	29984.0068359375	2281.0511001003842	37347.134465108364
H2	B18	H	2	E1	H2	30000	29667	28678	508800	1910.000244140625	30603.4990234375	2145.4129355307177	34811.41589513721
H3	yH156	H	3	E1	H3	18660	18163	17990	580056	994.99993896484375	142.00001525878906	852.3042228177044	126.16841930721425
H4	B18	H	4	E4	H4	30000	29424	28373	514673	1834.0003662109375	32922	2046.3191302004043	37051.61313233513
H5	B18	H	5	E4	H5	30000	29275	28218	535758.5	1913.9998779296875	39045.505859375	1989.4321213844628	40771.34287688616
H6	yH156	H	6	E4	H6	21007	19951	19771	612147	1140.0001220703125	153.00001525878906	885.5727592039359	124.83686134807716
H7	B18	H	7	E7	H7	30000	29162	28010	553419	1944.9996337890625	44507.00390625	1905.3122588720234	43746.73588084792
H8	B18	H	8	E7	H8	30000	29013	27870	562900	1990.00048828125	47571.00390625	1904.5088097960636	45490.522578734315
H9	yH156	H	9	E7	H9	27979	26089	25890	627401	1117.000244140625	160.99998474121094	839.4256441143989	127.75848958765368
H10	B18	H	10	E10	H10	30000	29097	27900	561787.5	2052.5003662109375	56716.49609375	1928.1945703600693	53582.568606532775
H11	B18	H	11	E10	H11	30000	28763	27610	584838	2174.000244140625	65981.5078125	1910.8875364292371	58227.31365020523
H12	yH156	H	12	E10	H12	22631	20840	20664	630474.5	1059.5000610351562	165	789.5563788991315	130.6102167691452
