file	sample	row	col	block	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
B5	B18	B	5	A4	B5	30000	29360	28205	500073	1597.0001220703125	7260.00048828125	1814.4827640373187	8245.921203699418
B6	yH156	B	6	A4	B6	30000	29185	28365	482368	1187.0001220703125	242	1409.8282233506836	263.8323311321778
B7	B18	B	7	A7	B7	30000	29220	28060	520482.5	1615	7892.498779296875	1745.2480212892528	8442.557009240809
B8	B18	B	8	A7	B8	30000	29313	28141	508225	1551	8881.998046875	1740.4983460712835	9874.536779944208
B9	yH156	B	9	A7	B9	30000	29075	28337	500856	1262.999755859375	251.00001525878906	1414.0529025321405	260.5702056801709
B10	B18	B	10	A10	B10	30000	29301	28182	510003.5	1546.0001220703125	8917	1693.5828929019854	9694.445023026801
B11	B18	B	11	A10	B11	30000	29029	27867	531047	1652.0003662109375	9320.001953125	1716.951366387903	9680.95323678353
B12	yH156	B	12	A10	B12	30000	29047	28367	498538	1279.9998779296875	267.0000305175781	1447.495776982137	278.7786999689492
C1	B18	C	1	A1	C1	30000	29487	28390	439432	1545.0003662109375	8219.50048828125	2098.767184790685	11312.39469791027
C2	B18	C	2	A1	C2	30000	29550	28428	458303	1570.000244140625	6842	1999.1906278387569	8728.934614941532
C3	B18	C	3	A1	C3	30000	29492	28282	464437	1526.5001220703125	7030.499755859375	1913.0613539622468	8857.434067972717
C4	B18	C	4	A4	C4	30000	29222	28160	513612	1781	7673.49951171875	1967.3742063420368	8355.988847621127
C5	B18	C	5	A4	C5	30000	29313	28073	494903	1649.0003662109375	8078.99853515625	1896.04794344423	9290.137611011545
C6	B18	C	6	A4	C6	30000	29087	27817	526675	1690	6980.00146484375	1766.7728815522705	7282.033246840058
C7	B18	C	7	A7	C7	30000	28785	27568	538999	1768.0003662109375	8127.49853515625	1803.8638074817807	8278.97128084274
C8	B18	C	8	A7	C8	30000	28939	27775	538643	1718.000244140625	8199	1749.1027846065326	8295.805034000565
C9	B18	C	9	A7	C9	30000	28667	27480	549512.5	1737.999755859375	8681.5	1708.933968631744	8546.711342629664
C10	B18	C	10	A10	C10	30000	28949	27784	526811.5	1718.000244140625	9105.498046875	1782.5720556683668	9383.36444893285
C11	B18	C	11	A10	C11	30000	28825	27498	548353.5	1797	10707.5	1776.263671442988	10715.143838040094
C12	B18	C	12	A10	C12	30000	28933	27756	545312.5	1697.999755859375	11609.49951171875	1697.4610895652613	11774.897939428047
D1	B18	D	1	A1	D1	30000	29412	28221	452162	1586.000244140625	9249.001953125	2102.018068341544	12374.468643921751
D2	B18	D	2	A1	D2	30000	29466	28170	458974	1593.0001220703125	7409.001953125	2025.5750620415488	9472.336990484808
D3	yH156	D	3	A1	D3	30000	29276	28314	454303.5	1044.999755859375	240	1337.4812721341193	280.193746928974
D4	B18	D	4	A4	D4	30000	29213	28026	513521	1786.0003662109375	8440	1951.4802006818873	9349.426627371166
D5	B18	D	5	A4	D5	30000	29184	27867	514445	1747.000244140625	8748.998046875	1898.9387512286735	9590.305310650156
D6	yH156	D	6	A4	D6	30000	28886	28066	504334.5	1257.9998779296875	259	1391.0881586160915	267.89899223882935
D7	B18	D	7	A7	D7	30000	29047	27687	522645	1753.9998779296875	10036.0029296875	1862.8522397387426	10718.899433786823
D8	B18	D	8	A7	D8	30000	29217	27862	512803	1694.999755859375	10446.9970703125	1852.993867129589	11265.099658787356
D9	yH156	D	9	A7	D9	30000	28576	27870	524731.5	1326.4999389648438	263	1386.858598257944	261.9872694308034
D10	B18	D	10	A10	D10	30000	28774	27357	547373	1774.0001220703125	11703.9970703125	1770.810954679799	11681.88772374325
D11	B18	D	11	A10	D11	30000	28729	27285	548432	1829.999755859375	12463.9990234375	1816.8070593498344	12467.123224872363
D12	yH156	D	12	A10	D12	30000	28398	27701	529669	1420.9998779296875	286	1452.5274597086177	280.69550908592737
E1	B18	E	1	E1	E1	30000	29325	28013	440053	1560.9998779296875	9370.001953125	2129.187184420856	13171.716348945918
E2	B18	E	2	E1	E2	30000	29424	28051	474735	1650.0003662109375	8738.001953125	2036.3586560878214	10842.482212096485
E3	B18	E	3	E1	E3	30000	29320	27911	480606	1593.999755859375	8613	1897.2830107451252	10437.62531166625
E4	B18	E	4	E4	E4	30000	29143	27724	518237	1767.0001220703125	9635.49951171875	1916.1969137814006	10618.796522821995
E5	B18	E	5	E4	E5	30000	29188	27744	514249.5	1713.9998779296875	9442.001953125	1889.763677550593	10582.704985987977
E6	B18	E	6	E4	E6	30000	28763	27174	546854	1771.4998168945312	8632.9990234375	1781.9340118118628	8667.2177832431
E7	B18	E	7	E7	E7	30000	28908	27427	527992	1763.00048828125	9259.001953125	1852.8356535293206	9782.579387119542
E8	B18	E	8	E7	E8	30000	28704	27242	549757	1806.0003662109375	10470.5	1791.3483482126348	10510.910018937968
E9	B18	E	9	E7	E9	30000	28848	27334	537021.5	1730.5000610351562	11025.0009765625	1777.0605011268328	11408.788672001887
E10	B18	E	10	E10	E10	30000	29079	27532	524052	1664	11961.0009765625	1765.4426838324555	12829.35307942344
E11	B18	E	11	E10	E11	30000	28689	27100	547813.5	1832.999755859375	14950.5	1822.6364851798276	15001.803264818715
E12	B18	E	12	E10	E12	30000	28642	26888	554974	1872.4998168945312	17740.99609375	1828.9656469684653	17443.005096119123
F1	B18	F	1	E1	F1	30000	29455	28112	464450.5	1635.0001220703125	10224.001953125	2116.545462988457	13438.296612696598
F2	B18	F	2	E1	F2	30000	29405	27967	467376	1674.0003662109375	9463.998046875	2060.1329620027454	11979.139012095739
F3	yH156	F	3	E1	F3	30000	29127	28129	478303	1078.999755859375	256	1291.8411950500451	280.77607017016925
F4	B18	F	4	E4	F4	30000	28846	27210	538435.5	1910.000244140625	11322.5009765625	1970.4132326151578	11994.764402286293
F5	B18	F	5	E4	F5	30000	29108	27450	521701.5	1782.9996337890625	11159.0009765625	1925.5249710147286	12307.491117006351
F6	yH156	F	6	E4	F6	30000	28160	27287	535767	1378.999755859375	286	1392.6719555558243	276.7890917506006
F7	B18	F	7	E7	F7	30000	28567	26931	552567	1908.9998779296875	11289.9970703125	1848.4338072271673	11048.603962068733
F8	B18	F	8	E7	F8	30000	28779	27078	543346	1776.0001220703125	11986.50048828125	1806.6756874218017	12258.524612762822
F9	yH156	F	9	E7	F9	30000	27979	27214	554507	1461	288	1394.0541356651204	268.708301338377
F10	B18	F	10	E10	F10	30000	28639	26976	555146	1838.000244140625	15471.501953125	1800.716093905322	15320.556454313064
F11	B18	F	11	E10	F11	30000	28339	26487	560106	2016.9996337890625	19594.99609375	1905.6789291417153	19040.140835241713
F12	yH156	F	12	E10	F12	30000	27816	27205	557347	1518.0001220703125	307.9999694824219	1430.5228735308222	283.707478789219
G1	Neg	G	1	E1	G1	95	52	49	349344	933.0001220703125	290.9999694824219	1385.7748262608281	424.2309351104507
G2	B18	G	2	E1	G2	30000	29357	27694	461835.5	1652.0003662109375	11329.9970703125	2091.0685721587915	14796.205316382519
G3	B18	G	3	E1	G3	30000	29184	27560	487764	1663	11190.50048828125	1974.6682746295578	13522.395139263885
G4	B18	G	4	E4	G4	30000	28821	27201	531889	1859.999755859375	12859.998046875	1959.3926948318767	13856.892425245642
G5	B18	G	5	E4	G5	30000	29170	27410	504035	1756.0003662109375	12997.9970703125	1957.5096589973516	14901.113659965915
G6	B18	G	6	E4	G6	30000	28615	26837	548791	1788.000244140625	12270.0009765625	1784.0573462443917	12513.370107228808
G7	B18	G	7	E7	G7	30000	28531	26674	567333.5	1926.00048828125	15001.4970703125	1814.6053876050341	14429.227276238165
G8	B18	G	8	E7	G8	30000	28493	26611	562642	1895.0003662109375	15861	1842.8570080724728	15729.646921309282
G9	B18	G	9	E7	G9	30000	28095	26283	593519	2028.0001220703125	18516	1787.8985684923068	16746.202169773707
G10	Neg	G	10	E10	G10	139	82	69	472688	1393.9996337890625	13276.99609375	1485.2627748809448	13344.248444580153
G11	B18	G	11	E10	G11	30000	27731	25559	601230	2221.99951171875	27591.99609375	1897.6765859523541	24136.484702072
G12	B18	G	12	E10	G12	30000	28585	26174	564510	2207.499755859375	35441.998046875	2085.48434055083	34599.26391315
H1	B18	H	1	E1	H1	30000	29235	27778	469121	1724.0001220703125	14546.00048828125	2206.1717692536513	18964.737444797283
H2	B18	H	2	E1	H2	30000	29396	27740	460225	1639.0001220703125	13449.998046875	2124.302409519247	17968.56454480619
H3	yH156	H	3	E1	H3	30000	28860	27981	490120	1068.000244140625	262	1244.1136843165882	279.0350029880989
H4	B18	H	4	E4	H4	30000	28798	27108	522462.5	1863.999755859375	16312.0029296875	2012.5771367799766	18206.864658921935
H5	B18	H	5	E4	H5	30000	29040	27305	516674	1766.00048828125	16138.9970703125	1953.9620154287163	18340.961100918103
H6	yH156	H	6	E4	H6	30000	28044	27308	538433.5	1296	281.0000305175781	1295.7658943554502	270.21529592832815
H7	B18	H	7	E7	H7	30000	28258	26289	579171	2011.0001220703125	21471	1865.5657207343088	20298.104700160515
H8	B18	H	8	E7	H8	30000	28566	26517	556868	1908.0001220703125	22811.998046875	1848.1192755248546	22795.429896308186
H9	yH156	H	9	E7	H9	30000	27654	26912	579582.5	1517.000244140625	302.9999694824219	1339.9408230890135	265.80217867151094
H10	B18	H	10	E10	H10	30000	28746	26688	552592	2001.0003662109375	26675.5009765625	1906.946118852251	26661.464804328767
H11	B18	H	11	E10	H11	30000	27774	25326	598050	2327.00048828125	39864.0078125	2001.3428303525982	35209.359259404286
H12	yH156	H	12	E10	H12	30000	28510	27944	541668.5	1318.999755859375	283.0000305175781	1307.8548587025944	269.67676706043005
