plate	experiment	group	filename	sample	workspace	compensation	plot.title	gate	X.par	Y.par	count	volume	concentration	pcTotal	pcGated	X.mean	Y.mean	X.median	Y.median	X.peak	Y.peak	X.SD	Y.SD	X.pcCV	Y.pcCV	X.rSD	Y.rSD	X.pcrCV	Y.pcrCV
Plate(4)	Experiment	Group		240-296-1	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	15074	3	5024.667	83.452	83.452	382175	105405	361289	96543	312309	72709	134592.45	42871.65	35.22	40.67	144699.53	41891.6	40.05	43.39
Plate(4)	Experiment	Group		240-296-1	Experiment	None		R1	Pho4-GFP - BL1-H		10000	3	3333.333	55.362	55.362	1312	N/A	1094	N/A	841	N/A	798.9	N/A	60.89	N/A	566.35	N/A	51.77	N/A
Plate(4)	Experiment	Group		240-296-1	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	3	3333.333	55.362	55.362	1076	N/A	677	N/A	538	N/A	1301.5	N/A	120.93	N/A	493.71	N/A	72.93	N/A
Plate(4)	Experiment	Group		240-296-1	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	3	3333.333	55.362	66.339	365606	86	346026	85	275324	80	117344.7	8.15	32.1	9.49	126820.12	8.9	36.65	10.47
Plate(4)	Experiment	Group		240-296-1	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	15074	3	5024.667	83.452	83.452	382175	95	361289	90	312309	80	134592.45	28.49	35.22	29.96	144699.53	11.86	40.05	13.18
Plate(4)	Experiment	Group		240-296-2	Experiment	None	N/A	All Events	N/A	N/A	22902	4	5725.5	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		240-296-2	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	16219	4	4054.75	70.819	70.819	404429	112737	393225	104270	275344	76794	144980.95	46044.48	35.85	40.84	164750.96	48436.54	41.9	46.45
Plate(4)	Experiment	Group		240-296-2	Experiment	None		R1	Pho4-GFP - BL1-H		10000	4	2500	43.664	43.664	1547	N/A	1292	N/A	1135	N/A	962.78	N/A	62.25	N/A	687.93	N/A	53.25	N/A
Plate(4)	Experiment	Group		240-296-2	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	4	2500	43.664	43.664	1898	N/A	1388	N/A	1407	N/A	1853.03	N/A	97.65	N/A	962.95	N/A	69.38	N/A
Plate(4)	Experiment	Group		240-296-2	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	4	2500	43.664	61.656	380773	87	368548	86	267243	88	122569.23	8.61	32.19	9.95	142835.16	8.9	38.76	10.34
Plate(4)	Experiment	Group		240-296-2	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	16219	4	4054.75	70.819	70.819	404429	97	393225	91	275344	93	144980.95	29.58	35.85	30.38	164750.96	13.34	41.9	14.66
Plate(4)	Experiment	Group		240-296-3	Experiment	None	N/A	All Events	N/A	N/A	19975	4	4993.75	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		240-296-3	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	15179	4	3794.75	75.99	75.99	410274	112604	395140	104232	349140	72632	143770.23	44851.4	35.04	39.83	160217.17	46371.28	40.55	44.49
Plate(4)	Experiment	Group		240-296-3	Experiment	None		R1	Pho4-GFP - BL1-H		10000	4	2500	50.063	50.063	1534	N/A	1286	N/A	1164	N/A	943.03	N/A	61.47	N/A	673.1	N/A	52.36	N/A
Plate(4)	Experiment	Group		240-296-3	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	4	2500	50.063	50.063	1542	N/A	1098	N/A	1165	N/A	1645.75	N/A	106.76	N/A	759.09	N/A	69.13	N/A
Plate(4)	Experiment	Group		240-296-3	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	4	2500	50.063	65.88	386594	87	373897	86	306226	81	123003.72	8.79	31.82	10.06	140039.72	8.9	37.45	10.34
Plate(4)	Experiment	Group		240-296-3	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	15179	4	3794.75	75.99	75.99	410274	97	395140	91	349140	92	143770.23	27.76	35.04	28.66	160217.17	13.34	40.55	14.66
Plate(4)	Experiment	Group		241-295-1	Experiment	None	N/A	All Events	N/A	N/A	22599	4	5649.75	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		241-295-1	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	15424	4	3856	68.251	68.251	369868	111370	353924	103673	267114	72709	140546.29	44452.32	38	39.91	155913.18	46884.26	44.05	45.22
Plate(4)	Experiment	Group		241-295-1	Experiment	None		R1	Pho4-GFP - BL1-H		10000	4	2500	44.25	44.25	2306	N/A	1920	N/A	2056	N/A	1855.8	N/A	80.48	N/A	1169.77	N/A	60.93	N/A
Plate(4)	Experiment	Group		241-295-1	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	4	2500	44.25	44.25	732	N/A	372	N/A	229	N/A	960.9	N/A	131.27	N/A	305.42	N/A	82.1	N/A
Plate(4)	Experiment	Group		241-295-1	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	4	2500	44.25	64.834	356018	86	339718	85	267122	88	119840.34	8.28	33.66	9.65	137831.39	8.9	40.57	10.47
