Group,ID,Sample,Rep,Pho4,Pho2,PHO5RFP,FP,Parameter,Count,Perc_gated,Median,CV,rCV
Lindsey,yH372-1,yH372,1,pho4del,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,27.424,383,112.7,66.97
Lindsey,yH372-1,yH372,1,pho4del,ScPho2,pho5,F,Pho4-GFP-H,10000,27.424,656,52.26,47.01
Lindsey,yH373-1,yH373,1,pho4del,pho2del,pho5,T,PHO5pr-mCherry-H,10000,21.531,534,109.13,64.13
Lindsey,yH373-1,yH373,1,pho4del,pho2del,pho5,F,Pho4-GFP-H,10000,21.531,757,47.11,45.63
Lindsey,177w-1,177w,1,pH177,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,19.169,28593,37.86,33.02
Lindsey,177w-1,177w,1,pH177,ScPho2,pho5,T,Pho4-GFP-H,10000,19.169,2405,38.67,33.88
Lindsey,177w-2,177w,2,pH177,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,17.633,25182,41.32,37.47
Lindsey,177w-2,177w,2,pH177,ScPho2,pho5,T,Pho4-GFP-H,10000,17.633,2359,41.67,36.89
Lindsey,177w-3,177w,3,pH177,ScPho2,pho5,T,PHO5pr-mCherry-H,6818,21.479,29864,49.09,43.39
Lindsey,177w-3,177w,3,pH177,ScPho2,pho5,T,Pho4-GFP-H,6818,21.479,2812,44.99,40.45
Lindsey,177wo-1,177wo,1,pH177,pho2del,pho5,T,PHO5pr-mCherry-H,10000,22.434,3981,56.42,46.25
Lindsey,177wo-1,177wo,1,pH177,pho2del,pho5,T,Pho4-GFP-H,10000,22.434,5277,55.73,50.16
Lindsey,177wo-2,177wo,2,pH177,pho2del,pho5,T,PHO5pr-mCherry-H,10000,21.701,4124,56.4,46.53
Lindsey,177wo-2,177wo,2,pH177,pho2del,pho5,T,Pho4-GFP-H,10000,21.701,6245,55.21,50.46
Lindsey,177wo-3,177wo,3,pH177,pho2del,pho5,T,PHO5pr-mCherry-H,10000,22.698,3211,57.65,46.82
Lindsey,177wo-3,177wo,3,pH177,pho2del,pho5,T,Pho4-GFP-H,10000,22.698,4605,57.22,51.86
Lindsey,179w-1,179w,1,pH179,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,12.777,39643,38.05,33
Lindsey,179w-1,179w,1,pH179,ScPho2,pho5,T,Pho4-GFP-H,10000,12.777,2260,30.87,28.71
Lindsey,179w-2,179w,2,pH179,ScPho2,pho5,T,PHO5pr-mCherry-H,6935,12.51,43734,37.94,29.31
Lindsey,179w-2,179w,2,pH179,ScPho2,pho5,T,Pho4-GFP-H,6935,12.51,2470,29.44,26.77
Lindsey,179w-3,179w,3,pH179,ScPho2,pho5,T,PHO5pr-mCherry-H,433,5.211,21239,87.21,129.56
Lindsey,179w-3,179w,3,pH179,ScPho2,pho5,T,Pho4-GFP-H,433,5.211,3023,54.05,53.65
Lindsey,179wo-2,179wo,2,pH179,pho2del,pho5,T,PHO5pr-mCherry-H,10000,23.125,5583,64.86,63.29
Lindsey,179wo-2,179wo,2,pH179,pho2del,pho5,T,Pho4-GFP-H,10000,23.125,2255,55.96,50.82
Lindsey,179wo-3,179wo,3,pH179,pho2del,pho5,T,PHO5pr-mCherry-H,10000,22.547,3590,68.93,53.48
Lindsey,179wo-3,179wo,3,pH179,pho2del,pho5,T,Pho4-GFP-H,10000,22.547,1948,57.38,50.51
Lindsey,179wo-1,179wo,1,pH179,pho2del,pho5,T,PHO5pr-mCherry-H,10000,21.068,4661,54.88,46.03
Lindsey,179wo-1,179wo,1,pH179,pho2del,pho5,T,Pho4-GFP-H,10000,21.068,2440,49.48,41.53
Lindsey,180w-1,180w,1,pH180,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,18.595,19022,45.81,38.08
