Sample,Tube,Group,Pho4,Pho4GFP,PHO5RFP,PHO2,Parameter,Count,Median,CV,rCV
Q3,6D,plasmid,ScPho4,ScPho4-EGFP,T,pho2-,Pho4-GFP,15000,1471,57.24,45.42
Q3,6D,plasmid,ScPho4,ScPho4-EGFP,T,pho2-,PHO5pr-mCherry,15000,924,69.67,52.63
R1,6E,plasmid,CgPho4,CgPho4-mNeon,T,pho2-,Pho4-GFP,15000,1748,41.71,41.39
R1,6E,plasmid,CgPho4,CgPho4-mNeon,T,pho2-,PHO5pr-mCherry,15000,8086,49.16,46.54
R2,6F,plasmid,CgPho4,CgPho4-mNeon,T,pho2-,Pho4-GFP,15000,1699,40.63,41.19
R2,6F,plasmid,CgPho4,CgPho4-mNeon,T,pho2-,PHO5pr-mCherry,15000,8833,49.08,45.4
R3,6G,plasmid,CgPho4,CgPho4-mNeon,T,pho2-,Pho4-GFP,15000,1618,42.52,43.57
R3,6G,plasmid,CgPho4,CgPho4-mNeon,T,pho2-,PHO5pr-mCherry,15000,6503,49.87,48.13
O1,2H,plasmid,CgPho4,CgPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1556,39.16,39.35
O1,2H,plasmid,CgPho4,CgPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,5211,56.06,58.61
O2,3H,plasmid,CgPho4,CgPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1686,36.92,36.55
O2,3H,plasmid,CgPho4,CgPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,7197,43.8,41.13
O3,4H,plasmid,CgPho4,CgPho4-mNeon,T,ScPHO2,Pho4-GFP,11840,1957,34.07,32.96
O3,4H,plasmid,CgPho4,CgPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,11840,10514,38.42,33.31
