# File Name: H:\ccg quantstudio\2023-01-16_161000 sc try23_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313047
# Instrument Serial Number: 272313047
# Heated Cover Serial Number:
# Block Serial Number: 21114869
# Run Start Date/Time: 2023-01-16 05:13:56 PM CST
# Run End Date/Time: 2023-01-16 06:25:45 PM CST
# Run Duration: 71 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-01-17 11:22:37 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0	 Relative Quantification v1.5.0
# Exported On: 2023-01-19 09:45:47 AM CST
Well	Well Position	Omit	Sample	Pi	Minute	Replicate	Target	Task	Reporter	Quencher	Amp Status	Amp Score	Curve Quality	Result Quality Issues	Cq	Cq Confidence	Cq Mean	Cq SD	Auto Threshold	Threshold	Auto Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Tm4
39	D3	FALSE	7pi 2hr	7	120	1	scact1	UNKNOWN	SYBR	None	Amp	1.207740946			13.6486158	0.982831178	13.35902724	0.352197047	TRUE	0.050259313	TRUE	3	11	74.67250061			
40	D4	FALSE	7pi 2hr	7	120	2	scact1	UNKNOWN	SYBR	None	Amp	1.236273734			13.67304877	0.922609134	13.35902724	0.352197047	TRUE	0.050259313	TRUE	3	10	75.12088776	66.37738037		
41	D5	FALSE	06pi 2hr	0.06	120	1	scact1	UNKNOWN	SYBR	None	Amp	1.225196605			13.3350762	0.962698234	13.28428549	0.143505301	TRUE	0.050259313	TRUE	3	10	74.86888123			
42	D6	FALSE	06pi 2hr	0.06	120	2	scact1	UNKNOWN	SYBR	None	Amp	1.20797397			13.43977115	0.898978992	13.28428549	0.143505301	TRUE	0.050259313	TRUE	3	10	74.98078156			
43	D7	FALSE	0pi 2hr	0	120	1	scact1	UNKNOWN	SYBR	None	Amp	1.204803957			13.40450636	0.981261396	13.12179811	0.255825508	TRUE	0.050259313	TRUE	3	11	74.9797287			
44	D8	FALSE	0pi 2hr	0	120	2	scact1	UNKNOWN	SYBR	None	Amp	1.125309054			12.78377255	0.778012382	13.12179811	0.255825508	TRUE	0.050259313	TRUE	3	10	74.9797287			
45	D9	FALSE	b4	7	0	1	Scpho84	UNKNOWN	SYBR	None	Amp	0.973122462			26.3592183	0.878956672	26.33031211	0.378330559	TRUE	0.039999999	TRUE	3	23	70.07978821	66.26699829		
46	D10	FALSE	b4	7	0	2	Scpho84	UNKNOWN	SYBR	None	Amp	0.98097522			26.0667498	0.89354141	26.33031211	0.378330559	TRUE	0.039999999	TRUE	3	23	66.4912796	71.4254837	69.40694427	
47	D11	FALSE	7pi 2hr	7	120	1	Scpho84	UNKNOWN	SYBR	None	Amp	1.030729747			21.47502452	0.590871554	21.54132224	0.061477119	TRUE	0.039999999	TRUE	3	17	64.66941833	69.12838745		
48	D12	FALSE	NoRT	NA	NA	NA	Scpho84	NoRT	SYBR	None	Amp	1.25244329			30.6944256	0.954670686	30.6944256		TRUE	0.039999999	TRUE	3	27	69.01691437	71.24640656		
49	E1	FALSE	b4	7	0	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.148349409			27.7402756	0.888274952	28.26444638	0.398978086	TRUE	0.047918776	TRUE	3	25	74.81679535	66.16742706		
50	E2	FALSE	b4	7	0	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.165882003			28.18242569	0.903436254	28.26444638	0.398978086	TRUE	0.047918776	TRUE	3	24	65.94276428	76.16474915		
51	E3	FALSE	7 0hr	7	2	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.193537593			25.84099476	0.713835681	26.84389561	0.672414607	TRUE	0.047918776	TRUE	3	22	75.00878906	66.15319061	64.69593811	79.94102478
52	E4	FALSE	7 0hr	7	2	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.166918983			27.26704796	0.931528569	26.84389561	0.672414607	TRUE	0.047918776	TRUE	3	25	65.70480347			
53	E5	FALSE	06pi 0hr	0.06	2	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.139759165			30.5176612	0.648739771	27.52673105	2.10432784	TRUE	0.047918776	TRUE	3	26	63.67904663	60.76969147	74.6450882	
54	E6	FALSE	06pi 0hr	0.06	2	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.168915366			25.85218277	0.831340032	27.52673105	2.10432784	TRUE	0.047918776	TRUE	3	21	64.90992737	75.20457458		
55	E7	FALSE	0pi 0hr	0	2	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.170442667			26.92720035	0.921771106	27.15310557	0.512042807	TRUE	0.047918776	TRUE	3	24	66.14096832	74.75596619		
56	E8	FALSE	0pi 0hr	0	2	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.195492536			26.53899385	0.908859059	27.15310557	0.512042807	TRUE	0.047918776	TRUE	3	22	75.09161377	64.35083771	80.01446533	
57	E9	FALSE	7pi 45min	7	45	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.190634353			27.53791761	0.932473302	27.80049696	0.917078247	TRUE	0.047918776	TRUE	3	24	66.04270935	75.68684387		
58	E10	FALSE	7pi 45min	7	45	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.114083535			29.1138119	0.83774163	27.80049696	0.917078247	TRUE	0.047918776	TRUE	3	27	74.34114838	77.59323883	65.93057251	
59	E11	FALSE	06 pi 45min	0.06	45	1	Scspl2	UNKNOWN	SYBR	None	Amp	0.966522893			35.14607466	0.719361727	31.90036118	4.486205819	TRUE	0.047918776	TRUE	3	33	65.00384521	74.70210266	77.71191406	
60	E12	FALSE	06 pi 45min	0.06	45	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.173042821			26.78107045	0.917611345	31.90036118	4.486205819	TRUE	0.047918776	TRUE	3	21	66.0071106	68.7939682	71.91525269	
61	F1	FALSE	b4	7	0	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.159982886			28.48901161	0.900374099	28.26444638	0.398978086	TRUE	0.047918776	TRUE	3	24	64.81947327			
62	F2	FALSE	b4	7	0	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.151335377			28.64607263	0.920570412	28.26444638	0.398978086	TRUE	0.047918776	TRUE	3	25	66.05509186	75.60310364		
63	F3	FALSE	7 0hr	7	2	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.207805228			27.09192478	0.932153796	26.84389561	0.672414607	TRUE	0.047918776	TRUE	3	24	65.48061371			
64	F4	FALSE	7 0hr	7	2	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.1780375			27.17561494	0.913279811	26.84389561	0.672414607	TRUE	0.047918776	TRUE	3	22	64.47174835	78.48377228	74.67250061	66.04109192
65	F5	FALSE	06pi 0hr	0.06	2	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.177603554			26.29044789	0.948509742	27.52673105	2.10432784	TRUE	0.047918776	TRUE	3	23	75.31647491	78.11393738		
66	F6	FALSE	06pi 0hr	0.06	2	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.171095263			27.44663232	0.955559348	27.52673105	2.10432784	TRUE	0.047918776	TRUE	3	25	64.68613434	74.53318787		
67	F7	FALSE	0pi 0hr	0	2	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.159586081			27.52027986	0.919462537	27.15310557	0.512042807	TRUE	0.047918776	TRUE	3	23	66.36473083	74.9797287		
68	F8	FALSE	0pi 0hr	0	2	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.167563452			27.62594822	0.918767315	27.15310557	0.512042807	TRUE	0.047918776	TRUE	3	23	74.64408112	64.23895264		
69	F9	FALSE	7pi 45min	7	45	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.185847324			27.57289656	0.933633831	27.80049696	0.917078247	TRUE	0.047918776	TRUE	3	25	65.81842804			
70	F10	FALSE	7pi 45min	7	45	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.160254013			26.97736177	0.942550241	27.80049696	0.917078247	TRUE	0.047918776	TRUE	3	23	65.14558411			
71	F11	FALSE	06 pi 45min	0.06	45	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.10756816			33.77393843	0.892556826	31.90036118	4.486205819	TRUE	0.047918776	TRUE	3	31	64.55794525	79.27255249	76.70864868	
72	F12	FALSE	NoRT	NA	NA	NA	Scspl2	NoRT	SYBR	None	Amp	1.362034794			31.27469321	0.951352016	31.27469321		TRUE	0.047918776	TRUE	3	28	64.33499908	68.23659515	72.13819885	
73	G1	FALSE	0oi 45min	0	45	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.203772859			25.51847311	0.835278584	26.65684431	1.952052603	TRUE	0.047918776	TRUE	3	22	65.15645599			
