# File Name: H:\ccg quantstudio\2023-01-16_161000 sc try23_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313047
# Instrument Serial Number: 272313047
# Heated Cover Serial Number:
# Block Serial Number: 21114869
# Run Start Date/Time: 2023-01-16 05:13:56 PM CST
# Run End Date/Time: 2023-01-16 06:25:45 PM CST
# Run Duration: 71 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-01-17 11:22:37 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported On: 2023-01-19 09:45:47 AM CST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"40","D4","false","7pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.2362737338644614","","","13.673048766556125","0.9226091343352845","13.359027244594493","0.3521970465342099","true","0.050259313185625855","true","3","10","75.12088775634766","66.37738037109375","",""
"41","D5","false","06pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.2251966047018554","","","13.335076203274632","0.9626982339565341","13.284285494581873","0.1435053009058667","true","0.050259313185625855","true","3","10","74.86888122558594","","",""
"42","D6","false","06pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.2079739697873138","","","13.439771147602396","0.8989789919387445","13.284285494581873","0.1435053009058667","true","0.050259313185625855","true","3","10","74.98078155517578","","",""
"43","D7","false","0pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.2048039574667582","","","13.40450636393625","0.9812613961051081","13.121798108388953","0.2558255079175835","true","0.050259313185625855","true","3","11","74.97972869873047","","",""
"44","D8","false","0pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.1253090543397632","","","12.783772550391852","0.7780123824592541","13.121798108388953","0.2558255079175835","true","0.050259313185625855","true","3","10","74.97972869873047","","",""
"45","D9","false","b4","Scpho84","UNKNOWN","SYBR","None","Amp","0.973122462220313","","","26.359218296784398","0.8789566724085346","26.33031211055864","0.37833055859989656","true","0.03999999910593033","true","3","23","70.07978820800781","66.26699829101562","",""
"46","D10","false","b4","Scpho84","UNKNOWN","SYBR","None","Amp","0.9809752197758852","","","26.06674980238815","0.8935414097061393","26.33031211055864","0.37833055859989656","true","0.03999999910593033","true","3","23","66.49127960205078","71.42548370361328","69.40694427490234",""
"47","D11","false","7pi 2hr","Scpho84","UNKNOWN","SYBR","None","Amp","1.0307297467943348","","","21.475024522456074","0.5908715535418255","21.54132223802905","0.06147711882375874","true","0.03999999910593033","true","3","17","64.66941833496094","69.12838745117188","",""
"48","D12","false","-RT","Scpho84","NTC","SYBR","None","Amp","1.2524432899597953","","","30.694425599851044","0.9546706857541744","30.694425599851044","","true","0.03999999910593033","true","3","27","69.01691436767578","71.24640655517578","",""
"49","E1","false","b4","Scspl2","UNKNOWN","SYBR","None","Amp","1.1483494093772477","","","27.74027559844138","0.8882749522521481","28.26444638166918","0.39897808627955966","true","0.047918776049736336","true","3","25","74.8167953491211","66.16742706298828","",""
