well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
C4	211-555-3	211-555-3	32306	25693	22248	602559	3198.5	66836	2744.9	58463.5
C5	188-555-3	188-555-3	18837	17865	14811	361803	1456	18818	2082.6	26801.8
C6	218-373-1	218-373-1	19412	18339	9790	419687.5	6045	11874	8299.1	17366.8
C7	218-373-2	218-373-2	21051	20055	17988	432814.5	5314	870	6218.8	1006
C8	218-373-3	218-373-3	20355	19191	16962	411041.5	4659.5	849	5573.8	1061.6
C9	188-373-3	188-373-3	20397	18321	16854	431138	2024	23828.5	2454.2	28641
C10	232-555-1	232-555-1	17082	16071	14830	399035.5	1716.5	33369	2292	45145.9
C11	232-555-2	232-555-2	18074	17024	13497	364973	1538	28644	2182.2	42233.8
C12	232-555-3	232-555-3	18654	17601	16183	416644	1765	34285	2244.9	44435.7
D1	NA-555-1	yH555-1	15241	15120	13398	351199.5	594	424	867.5	613.9
D2	211-373-1	211-373-1	25991	25393	22356	391687	2338.5	9172.5	3210.6	14305.4
D3	211-373-2	211-373-2	20337	16665	13758	384284	3395	14264	4694.6	19727.3
D4	211-373-3	211-373-3	24521	21507	17187	385153	3440	15576	4664.2	21138.9
D5	NA-blank-2	blank2	2960	185	166	161633	950.5	465	2731.7	1383.9
D6	218-555-1	218-555-1	17665	17139	15858	397304	3108	682	3811.1	870.1
D7	218-555-2	218-555-2	16341	16010	14584	375625.5	2656	598	3417.9	803.5
D8	218-555-3	218-555-3	18358	17780	16172	393874	3510.5	689	4365	897.2
D9	NA-156-2	yH156-2	17325	17168	15326	371613.5	538	73	754.7	94.3
D10	232-373-1	232-373-1	18958	18131	16127	369078	1292	1122	1753.4	1558.4
D11	232-373-2	232-373-2	18269	17144	14903	347104	2149	1866	2704.8	2500
D12	232-373-3	232-373-3	18677	17820	15912	367369.5	1550.5	1323	2028.1	1800.1
E1	188-555-4	188-555-4	18433	17460	14558	371551.5	1503	17738	2105.6	24813.2
E2	213-555-1	213-555-1	16811	16298	14344	332825	1461	12966.5	2261.7	20260.8
E3	213-555-2	213-555-2	16287	15734	13813	336778	1456	13112	2220.1	20039.6
E4	213-555-3	213-555-3	17551	16673	14807	361630	1617	14406	2289.1	20487.7
E5	188-373-4	188-373-4	19094	18035	15159	340733	1419	15711	2134.6	23736.5
E6	220-373-1	220-373-1	18612	17935	15943	353723	1179	2058	1689.7	2920.8
E7	220-373-2	220-373-2	18446	17442	15363	358060	1181	2102	1650.6	2908.2
E8	220-373-3	220-373-3	17298	16372	14476	352659.5	1114	1890	1588.5	2644.7
E9	188-555-5	188-555-5	18463	17374	14487	360743	1414	18254	2025.7	26329.8
E10	234-555-1	234-555-1	32314	23691	17224	583476	1917	58520	1709.9	53619.2
E11	234-555-2	234-555-2	23186	14321	10109	636125	2202	70885	1787.7	58895.9
E12	234-555-3	234-555-3	18704	10964	7346	596440.5	2022	65758.5	1779.5	59132
F1	NA-373-2	yH373-2	18459	18124	15966	383636	604	666	817.8	888.6
F2	213-373-1	213-373-1	18798	18279	15651	328927	1405	11098	2192.6	17116.2
F3	213-373-2	213-373-2	19196	18323	15802	332336	1457.5	10928	2255.6	16680
F4	213-373-3	213-373-3	19823	18895	16464	349116	1523	11835.5	2226.8	17350.4
F5	NA-555-2	yH555-2	16125	15972	14364	351398	591	427	867.3	614.7
F6	220-555-1	220-555-1	17708	17026	15195	339546	1166	2045	1729.6	3020.9
F7	220-555-2	220-555-2	17848	17306	15647	344172	1120	1941	1632.9	2801.8
F8	220-555-3	220-555-3	18438	17720	16050	351915	1369	2786	1943	4042.8
F9	NA-blank-3	blank3	6274	418	359	151645	796	387	2353.5	1173.1
F10	234-373-1	234-373-1	19248	17897	14932	301272.5	2212	5103	3670.5	8541.3
F11	234-373-2	234-373-2	20261	18920	16978	342214	3071	7446	4458.9	10849.1
F12	234-373-3	234-373-3	21369	19580	16712	310862.5	2471.5	5940	3885	9610.3
G1	188-373-5	188-373-5	19370	18512	15857	355545	1431	14903	2066.7	21515.7
G2	215-555-1	215-555-1	17165	16700	15200	334770.5	2063	6181.5	3035.4	8975.3
G3	215-555-2	215-555-2	18568	18073	16295	334815	1796	5171	2668.8	7591.6
G4	215-555-3	215-555-3	19126	18516	16798	343148.5	1947.5	5196	2762.7	7484.8
G5	188-555-6	188-555-6	18767	17983	15560	368403.5	1396	17219	1963.7	24243.8
G6	221-373-1	221-373-1	19532	18795	17217	341393	1815	6729	2648.2	9685.7
G7	221-373-2	221-373-2	19736	19151	17628	342998.5	1583	5554	2334.6	8087.2
G8	221-373-3	221-373-3	20561	19512	17060	336689	1485	4549	2257	6881.4
G9	188-373-6	188-373-6	19522	18408	15921	357575	1397	14974	2009.9	21524.6
G10	235-555-1	235-555-1	16862	15898	14572	320488	1754	2478	2729.8	3913.1
G11	235-555-2	235-555-2	18250	17345	15735	345983	2081	3342	2952.1	4788.7
G12	235-555-3	235-555-3	17596	16587	15223	342280	1839	2980	2692.7	4488.8
H1	NA-156-3	yH156-3	15307	15077	13579	362600	495	75	711.4	99.3
H2	215-373-1	215-373-1	19558	18777	16537	326665	2526	8127	3831.4	12464.9
H3	215-373-2	215-373-2	18202	17457	15842	329708.5	2971	10139	4445.6	15266.5
H4	215-373-3	215-373-3	20244	19172	17382	372086.5	3930	12532.5	5271.5	16850.4
H5	NA-373-3	yH373-3	18293	17916	15880	366206	608	645	854.7	891.7
H6	221-555-1	221-555-1	23946	22790	17792	446742	1533	38576.5	1772.7	45851.1
H7	221-555-2	221-555-2	22053	20882	17126	461270	1662	39464.5	1844.5	44694
H8	221-555-3	221-555-3	22389	21131	16845	442540	1475	36147	1725.1	43158.1
H9	NA-555-3	yH555-3	16860	16754	15083	353624	580	488	850.7	703.1
H10	235-373-1	235-373-1	18215	16673	15264	323106	2490	4593	3933	7524.7
H11	235-373-2	235-373-2	18615	17181	15875	356592	3607	6460	5060.4	9151.1
H12	235-373-3	235-373-3	21137	19368	17994	354689	2496	4302.5	3592.5	6445.4
