file	sample	row	col	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
C2	B18	C	2	C2	20000	19175	10682	8802	403601.5	1409.0001220703125	31274.5	1875.6923851937875	42295.56715074422
C3	B18	C	3	C3	20000	19169	10628	8952	418450.5	1484	38445.5	1897.6669212368736	49222.454138919566
C4	B18	C	4	C4	20000	19354	10507	8762	430896.5	1560.4998168945312	37226.0078125	1953.0677947704662	46443.77552888912
C5	B18	C	5	C5	20000	19232	10470	8654	428908	1492.0003662109375	31663.994140625	1888.3347770993241	39909.78649553112
C6	B18	C	6	C6	20000	19164	10442	8497	418135	1338.000244140625	28180.998046875	1709.6735510762173	36254.63124584736
C7	B18	C	7	C7	20000	18997	10592	8751	414845	1318.999755859375	27017.001953125	1710.3065994072904	35248.88903189513
C8	B18	C	8	C8	20000	19225	10221	8406	427540.5	1367.999755859375	29035.5029296875	1726.3149332265632	36461.964827779186
C9	B18	C	9	C9	20000	18449	10994	7303	295094	1019.9998168945312	29901.998046875	1736.4357497678864	53213.100299907084
C10	B18	C	10	C10	20000	18108	10957	6290	295561.5	1117.000244140625	29149.9970703125	1874.7926828788136	51758.8571550839
C11	B18	C	11	C11	20000	19370	10513	8672	411800	1243.000244140625	26152.99609375	1615.4842233461427	34401.26235875451
C12	B18	C	12	C12	20000	18312	10910	6560	306573	1103.9998779296875	29685.4990234375	1796.1472144086042	51920.1354658153
D1	yH295	D	1	D1	20000	19524	10996	10121	379001	730.00006103515625	2990.000732421875	979.1596151056525	4181.474864752031
D2	B18	D	2	D2	20000	19172	10120	8420	428976	1588.5	33187.501953125	2009.4176321219857	41885.39259058761
D3	B18	D	3	D3	20000	19243	10521	8630	420498	1487.000244140625	33302	1918.8806403360404	43099.72772736724
D4	B18	D	4	D4	20000	19379	10748	8958	431753.5	1551	39574.00390625	1935.3580450668278	49262.536484846634
D5	neg	D	5	D5	39	22	15	8	359378.5	1147.0001220703125	30048.0048828125	1862.917860257523	49418.77403692184
D6	B18	D	6	D6	20000	19115	10499	8725	434798	1554.9996337890625	41195	1925.600269925805	50794.24919830399
D7	B18	D	7	D7	20000	18300	10181	5940	283628.5	1031.5001831054688	27801.501953125	1780.4536797157336	50657.9674610107
D8	B18	D	8	D8	20000	19125	10303	8560	429292	1366.9998779296875	29958.5009765625	1715.1436635681496	37864.3173692172
D9	yH156	D	9	D9	20000	19293	10661	9261	416811	708.00006103515625	108.00000762939453	890.5438910917752	131.4922649614483
D10	B18	D	10	D10	20000	19027	10313	8528	419431.5	1312.0003662109375	28424.49609375	1652.2452695904253	36565.39967328448
D11	B18	D	11	D11	20000	19418	10697	8972	428878.5	1321	30971.498046875	1652.528063266519	38947.66702367339
D12	B18	D	12	D12	20000	18250	10645	5972	370261.5	1246.499755859375	33094.501953125	1764.62619069829	48842.16580999344
E1	B18	E	1	E1	20000	19255	10678	8876	418604.5	1378.0001220703125	29713.998046875	1758.3251576226887	38212.428228009754
E2	B18	E	2	E2	20000	18833	10268	8358	399509.5	1381.4998168945312	29234.5029296875	1856.5653925405559	40146.00182790334
E3	B18	E	3	E3	20000	19179	10306	8524	417433.5	1393.9996337890625	28839.4990234375	1811.0423850173684	37684.76522678061
E4	B18	E	4	E4	20000	19453	10413	8790	418267	1481.4998779296875	35349.0078125	1928.6819384185342	46442.18130946368
E5	B18	E	5	E5	20000	18971	11043	8846	403467.5	1349	32454.4970703125	1787.1670459639413	43510.05891883289
E6	B18	E	6	E6	20000	19116	10038	8403	451088	1558	40407.0078125	1843.8605125247868	47533.57183248488
E7	B18	E	7	E7	20000	19281	10019	8397	446608	1417.9998779296875	30890	1719.2955357266762	37649.80111560568
E8	B18	E	8	E8	20000	19329	10062	8339	437711	1520.0003662109375	40133.9921875	1876.551775335712	49742.2708507883
E9	B18	E	9	E9	20000	18779	10255	8200	415452.5	1430.0001220703125	40320.5	1828.1472670123167	52096.863049196414
E10	B18	E	10	E10	20000	19101	9988	8181	407547	1273.000244140625	29197.0078125	1652.682268888091	38719.702202456734
E11	B18	E	11	E11	20000	18409	11159	6209	297518	1047.0001220703125	31378	1755.4240198119373	55735.55673489989
E12	B18	E	12	E12	20000	18560	9319	7241	434292	1357.999755859375	34669.99609375	1679.88472003874	42664.73331819999
F1	yH296	F	1	F1	20000	19529	11312	10510	422950.5	812.99993896484375	2749	973.5892353136055	3484.146916770127
F2	B18	F	2	F2	20000	18873	10532	8474	416472	1428.999755859375	32778	1845.5753159668236	42669.0437544578
F3	B18	F	3	F3	20000	18963	10553	8761	409492	1359.9998779296875	29579.00390625	1777.4769939246848	39391.657716114314
F4	B18	F	4	F4	20000	19119	10215	8327	442708	1551	40994	1894.9389969221404	49898.03856409253
