well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
F6	241-555-1	241-555-1	18250	16833	15205	490985	3219	36337	4211.7	47354.5
F7	241-555-2	241-555-2	15363	12080	10912	634076	3921	72016	2916.7	57474.4
F8	241-555-3	241-555-3	12389	11177	10240	468968	2990	29217.5	4125.5	43510.8
F9	NA-blank-3	NA-blank-3	248	55	47	211021	681	284	1794.1	754
G1	188-555-10	188-555-10	22980	22594	21131	475533	1741	20269	2020.9	23611.5
G2	253-555-1	253-555-1	24052	23093	21349	514058	2122	4171	2056.5	4230.6
G3	253-555-2	253-555-2	19836	19704	18877	399344	1739	4120	2562.4	6016.6
G4	253-555-3	253-555-3	20356	20207	19389	391010	1510	3172	2293.3	4772.4
G5	188-555-11	188-555-11	21781	21447	19963	461776	1677	19664	2029.5	24185.1
G6	188-373-1	188-373-1	21604	21303	19864	432020	1578	16165	2082.1	21634.8
G7	188-373-2	188-373-2	23503	23121	21727	457373	1630	16598	1983.8	20480.5
G8	188-373-3	188-373-3	22613	22242	20911	439999	1537	15856	1990.3	20774.3
G9	188-555-12	188-555-12	22253	21851	20154	470727	1727	21419	2017.7	25517.6
H1	NA-156-3	NA-156-3	18721	18520	17171	428887	588	80	775.6	94.5
H2	253-373-1	253-373-1	20146	19889	19025	430310	2965	8212	3822.9	10637.7
H3	253-373-2	253-373-2	21748	21271	20344	485224	3766.5	11211	4181.6	12535.9
H4	253-373-3	253-373-3	22470	22125	21222	439247.5	2536	6127	3252.2	7935.2
H5	NA-373-3	NA-373-3	24831	23783	22484	427052	715	584	964.3	782
H6	NA-blank-4	NA-blank-4	265	102	91	268832	508	305	1070.1	716.6
H7	NA-blank-5	NA-blank-5	160	35	34	179617.5	944.5	322	3215.9	1147.5
H8	NA-blank-6	NA-blank-6	182	45	38	243216	443	157.5	1227.1	489.1
H9	NA-555-3	NA-555-3	22093	21714	20587	418501	671	554	912	754.6
