V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40
0.9306698	0.8789659	0.8613396	0.8507638	0.8644732	0.7955347	0.7728163	0.8683901	0.6141794	0.6619663	0.880141	0.42264	0.9455543	0.8758324	0.9678809	0.9764982	0.9952996	0.981982	0.9674892	0.9843321	0.9980415	1	1	0.9318449	1	1	0.990991	1	0.9772816	0.9886408	0.985899	0.9392871	0.8691735	0.7751665	0.7246377	0.800235	0.9620055	0.7916177	0.6980023	0.6799843
1	1	1	1	1	1	0.9711539	1	0.9038461	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0.9989142	0.8973941	0.9305103	0.9717698	0.9641694	0.956569	0.864278	0.8382193	0.985342	0.9191096	0.9055375	0.9907709	0.902823	0.9761129	1	0.9907709	0.9402823	0.9907709	0.8116178	0.9299674	0.9717698	0.9625407	0.9581976	0.9994571	1	0.9896851	0.8718784	1	0.9967427	0.9180239	0.9907709	1	1	0.9961998	0.9961998	0.9961998	0.9989142	1	0.960912	0.9983714
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9852608	1	1	1	1	1	1	1	0.9886621	1	1	1	0.9705216	1	1	1	1	1	1	1	1	1
0.9924812	1	0.9956141	0.9906015	0.9924812	0.9962406	0.9981203	1	0.991228	0.9730576	0.9937344	0.9830827	1	0.9956141	0.991228	0.9906015	0.9949875	0.9868421	0.9924812	0.9956141	0.9830827	0.9617795	0.9956141	0.9805765	0.9918546	0.9943609	0.9943609	0.9761904	0.9843358	0.9956141	0.9655389	0.9924812	0.9943609	0.9899749	0.9868421	0.9931078	0.991228	1	0.9924812	0.9893484
0.6688065	0.5660961	0.446505	0.5679981	0.5701379	0.6084166	0.5299572	0.6583452	0.5197337	0.593438	0.5095102	0.1086543	0.680932	0.6654779	0.6203043	0.7082739	0.7108892	0.7505944	0.703281	0.7681883	0.7039943	0.742273	0.7593914	0.3057537	0.754874	0.7662863	0.7427484	0.7494056	0.7308607	0.70233	0.7677128	0.392059	0.3259629	0.2686638	0.3792202	0.4179743	0.4108416	0.5798859	0.4106039	0.4664765
0.22106	0.2217573	0.2217573	0.2175732	0.2022315	0.2182706	0.1994421	0.2182706	0.1896792	0.1861925	0.2175732	0.2133891	0.1771269	0.2259414	0.2036262	0.2224547	0.2266388	0.2022315	0.1889819	0.2461646	0.2273361	0.2126918	0.2280335	0.2008368	0.2266388	0.2252441	0.2252441	0.2273361	0.1973501	0.2161785	0.2294282	0.2140865	0.2001395	0.1708508	0.2140865	0.2252441	0.1875872	0.2008368	0.1771269	0.1959554
0.4850763	0.5174299	0.5146958	0.408977	0.4524949	0.5017088	0.4843928	0.5269993	0.4773297	0.4878104	0.4973798	0.1091365	0.5030759	0.5003418	0.4900889	0.4925951	0.5616313	0.5402142	0.4912281	0.5488722	0.49419	0.5228981	0.5907952	0.3260424	0.5306448	0.6158578	0.569378	0.5839599	0.5263158	0.5885168	0.5730234	0.393028	0.4647984	0.2690818	0.300524	0.2820688	0.328093	0.4816587	0.3552062	0.3388016
0.2178423	0.1881051	0.175657	0.1701245	0.1908714	0.2081604	0.1915629	0.1846473	0.1652835	0.1922545	0.1922545	0.1452282	0.1569848	0.1950208	0.186722	0.1929461	0.2226833	0.2192255	0.1846473	0.2261411	0.246888	0.1950208	0.1964039	0.1811895	0.2261411	0.2295989	0.1908714	0.1964039	0.1964039	0.2178423	0.2233748	0.1818811	0.186722	0.1715076	0.1562932	0.2282158	0.1915629	0.1957123	0.1915629	0.1549101
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	0.988957	1	1	0.9893661	0.995092	0.995092	0.993456	0.996319	0.9562372	1	0.997955	0.994683	1	1	1	0.9529653	0.999591	1	1	0.988139	1	0.994274	0.9791411	0.9423313	1	0.9926381	0.9877301	1	1	1	1	1	0.998364	1	1	0.997546	1
0.9387296	0.9336706	0.9331085	0.9190556	0.9336706	0.9291737	0.9336706	0.9314222	0.9331085	0.9286116	0.9274874	0.9252389	0.9331085	0.9342327	0.9342327	0.9229904	0.9263631	0.9336706	0.9331085	0.9336706	0.9331085	0.9319842	0.9280494	0.9331085	0.9342327	0.9229904	0.9241146	0.9342327	0.9347948	0.9263631	0.9342327	0.9342327	0.9336706	0.93086	0.9342327	0.9319842	0.9263631	0.9297358	0.9342327	0.9263631
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0.9126819	1	0.8814969	1	0.6673597	0.929314	0.7609147	0.8066528	0.8835759	1	0.954262	0.954262	0.941788	1	1	1	0.9521829	1	1	0.954262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0.8527132	0.8527132	1	0.6627907	0.9147287	0.4069767	0.2635659	0.9302326	0.4069767	0.5813953	0.8023256	0.6937984	0.6511628	0.7674419	0.8062016	0.751938	0.7906977	1	0.4806201	1	0.9844961	0.996124	0.9534883	0.8914729	0.9573643	0.6782946	0.7093023	1	0.9573643	0.9379845	1	1	1	1	0.744186	0.9147287	0.6124031	0.9069768	0.8333333	0.3488372
0.968	1	1	0.912	0.976	0.98	0.972	1	0.9786667	0.9	0.9546667	0.5413333	0.9786667	1	0.9773333	0.96	1	0.9413334	0.9986666	1	1	1	0.964	0.86	0.9826667	1	1	0.9866667	0.968	0.984	0.9786667	0.9973333	0.9426666	0.6146666	0.64	0.7946666	0.7533333	0.9813333	0.9186667	0.9066667
1	1	1	1	1	1	1	1	1	0.9945098	1	1	1	1	0.9866667	0.9945098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0.9932854	1	1	1	1	1	1	1	0.9870504	1	0.9894484	1	1	1	1	1	1	0.9865707	1	1	0.9932854	0.9961631	1	1	0.9942446	0.9889688	0.9961631	1	1	1	1	0.9932854	1	0.9889688	0.9932854	1	1	0.9947242	1
1	1	1	0.8914849	0.9911734	0.9662513	0.9781932	1	0.9080997	0.9543095	0.982866	0.8110073	0.916407	1	1	0.9558671	0.9989616	0.9849429	0.9330218	0.9610592	0.9454829	0.9636552	0.9382139	0.950675	0.9543095	0.992731	0.9963655	0.9911734	0.9776739	0.9916926	1	0.9932503	1	0.9480789	1	0.9968848	1	0.9953271	0.970405	0.9132918
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9964539	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0.9961496	1	0.9972497	1	1	0.9944994	1	1	1	1	1	0.9966997	1	1	1	1	1	1	0.9950495	1	1	1	1	1	1	1	0.9889989	0.9972497	0.9686469	0.9944994	1	1	1	1	1	1	1	1	0.9790979	1
0.9677798	0.9671939	0.9648506	0.9648506	0.9677798	0.9677798	0.9642648	0.9695372	0.9677798	0.9671939	0.9724663	0.9677798	0.9695372	0.9648506	0.9677798	0.9677798	0.9677798	0.9683656	0.9671939	0.9677798	0.9677798	0.9677798	0.990041	0.9677798	0.9677798	0.9923843	0.963679	0.9683656	0.9677798	0.9648506	0.9683656	0.9695372	0.9917985	0.9671939	0.9964851	0.9683656	0.9923843	0.9683656	0.9654365	0.9660223
0.9704491	0.9491726	0.9503546	0.9349882	0.9586288	0.9479905	0.8912529	0.9497636	0.9024823	0.893617	0.9373522	0.9550827	0.9669031	0.9686761	0.9509456	0.9627659	0.9716312	0.9739953	0.9669031	0.9840425	0.9722222	0.9716312	0.9769503	0.9722222	0.9716312	0.9734042	0.9674941	0.9686761	0.9816785	0.9716312	0.9692671	0.9793144	0.9769503	0.9663121	0.9698582	0.9716312	0.9722222	0.9574468	0.9143026	0.9444444
0.163554	0.5172609	0.37691	0.5597057	0.6298811	0.3582343	0.8658744	0.6876061	0.9705716	0.7334465	0.8070176	0.0424448	0.8704018	0.8392756	1	1	1	1	1	0.9683079	1	1	0.9881154	0.0848896	1	1	1	1	1	1	1	0.2773062	0.1488398	0.1697793	0.1827957	0	0.1697793	0.2546689	0.0548953	0.2207131
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
