well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
F9	NA-blank-3	NA-blank-3	2237	1815	1563	687749	3945	82320	2587.1	54408.1
G1	188-555-10	188-555-10	16866	16772	15673	412273	1766	19609	2469.7	27721.9
G2	278-555-1	278-555-1	15752	15637	14898	375696.5	1740	2647	2671.1	4021.3
G3	278-555-2	278-555-2	14975	14903	14172	364424.5	1928	3099	3061.8	4952.4
G4	278-555-3	278-555-3	14703	14654	14035	366320	1733	2565	2776.6	4059.1
G5	188-555-11	188-555-11	15740	15623	14539	402213	1671	19272	2416.9	28025.7
G6	218-373-1	218-373-1	16923	16780	15697	365707	4144	12071	6803.5	19970.9
G7	218-373-2	218-373-2	16295	16115	15042	362274	4277	12039	7135.4	20457.4
G8	218-373-3	218-373-3	17865	17624	16489	386733	4573	13349	6964.3	20469.4
G9	188-555-12	188-555-12	17677	17511	15098	402844	1756.5	20036	2482.2	29873.1
H1	NA-156-3	NA-156-3	11320	10770	10016	562047	1564	90	1358.3	78.7
H2	278-373-1	278-373-1	16290	16127	15296	407723.5	1964.5	1224	2606	1668.5
H3	278-373-2	278-373-2	16877	16690	15917	396656	1988	1395	2686.5	1953.9
H4	278-373-3	278-373-3	16409	16237	15470	413505	2030	1203	2490.4	1556.8
H5	NA-373-3	NA-373-3	18703	18405	17598	436837	1013.5	1312	1304.7	1661.7
H6	218-555-1	218-555-1	11893	10677	9428	589777	3396.5	84679.5	3001.9	74587.6
H7	218-555-2	218-555-2	18839	17096	15331	584707	3193	76522	2859.9	68516.2
H8	218-555-3	218-555-3	20672	18286	16283	585844	3133	76832	2858.4	70286.8
H9	NA-555-3	NA-555-3	18458	18122	16555	438217	1020	1022	1317.6	1301.7
