Geneid	S38.fastq.gz	S37.fastq.gz	S35.fastq.gz	S32.fastq.gz	S31.fastq.gz	S29.fastq.gz	S26.fastq.gz	S25.fastq.gz	S23.fastq.gz	S20prime.fastq.gz	S20.fastq.gz	S19.fastq.gz	S16.fastq.gz	S15.fastq.gz	S12.fastq.gz	S11.fastq.gz	S8.fastq.gz	S7.fastq.gz	S4.fastq.gz	S3.fastq.gz
GWK60_F07315	676	942	19766	19355	47454	26280	36280	13826	19656	15575	12197	8461	8358	6634	3278	4045	285	525	118	84
GWK60_F07337	828	796	3118	3056	4023	3329	5699	1837	2623	1825	1574	1111	1306	843	1138	1219	444	702	354	267
GWK60_F07359	469	482	676	696	967	871	1592	549	1003	803	724	500	685	422	598	676	274	542	308	223
GWK60_F07381	366	286	313	290	329	296	493	194	294	227	192	145	174	125	195	174	111	200	224	199
GWK60_F07403	85	84	234	258	302	358	681	213	411	330	272	231	325	201	320	416	146	291	143	109
GWK60_F07425	2360	2156	697	638	928	762	1225	508	931	784	661	477	614	455	782	999	696	1143	1418	1214
GWK60_F07447	482	497	459	425	455	468	801	273	537	464	379	260	369	272	329	354	189	295	306	213
GWK60_F07469	1457	1266	1441	1473	2080	1681	2929	1099	2187	2033	1508	1182	1580	949	1282	1209	463	793	587	447
GWK60_F07491	20	26	81	70	182	84	122	48	68	43	30	26	24	23	37	28	9	22	16	14
GWK60_F07513	215	297	906	1046	1900	1342	1759	730	1440	1234	1036	699	955	661	945	1159	314	589	115	97
GWK60_F07535	1098	1049	1285	990	1486	1016	1467	592	1453	762	597	498	588	424	657	832	412	642	737	598
GWK60_F07557	602	576	498	448	408	394	765	246	368	235	180	124	140	73	149	150	139	195	244	194
GWK60_F07579	5170	4516	12431	10496	9774	13989	21970	8068	13056	8112	6492	4483	5812	3577	4227	4577	2209	3792	3693	2927
GWK60_F07601	892	895	1455	1523	2345	1904	2316	1119	2042	1780	1414	880	1340	899	1020	1520	579	1189	680	518
GWK60_F07623	459	429	347	311	843	387	435	225	357	229	176	149	186	100	208	204	56	61	37	26
GWK60_F07645	6163	4947	2712	3137	5916	3587	5974	2417	6053	7675	5795	4650	6863	4618	5455	6786	1554	2544	803	665
GWK60_F07667	2272	1613	573	386	363	433	685	296	323	108	96	84	40	33	24	40	112	135	973	772
GWK60_F07689	805	752	617	495	518	525	915	325	615	470	380	258	259	249	365	519	313	441	557	459
GWK60_F07711	110	75	70	73	121	98	108	64	99	76	67	51	52	43	48	59	13	21	12	10
GWK60_F07733	22	24	64	34	72	87	111	54	144	81	60	91	76	107	92	178	45	135	70	116
GWK60_F07755	1	2	9	12	8	13	8	5	5	1	2	3	0	1	3	3	0	5	3	2
GWK60_F07777	835	882	1682	1994	3073	2445	3947	1353	2977	2816	2150	1595	2171	1428	1990	2231	725	1163	714	532
GWK60_F07799	116	139	2853	3310	4453	4972	9061	3747	7141	5240	4076	3021	3400	1889	584	470	38	55	21	15
GWK60_F07821	822	732	680	616	742	692	1342	522	946	772	628	445	699	394	647	740	425	620	470	351
GWK60_F07843	630	627	486	410	529	517	1019	304	618	456	374	282	358	250	301	341	150	231	238	197
GWK60_F07865	189	185	775	814	1247	1007	1915	631	1041	703	591	451	445	282	309	308	81	147	107	82
GWK60_F07887	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
GWK60_F07909	1387	1020	757	621	708	796	1386	575	934	747	536	451	429	337	479	649	401	614	1097	878
GWK60_F07931	926	859	870	895	1183	1031	1922	660	1320	1067	895	692	982	549	903	994	480	699	575	450
GWK60_F07953	691	661	373	346	369	410	765	252	385	438	289	204	337	173	380	377	271	376	395	290
GWK60_F07975	499	482	344	352	340	369	666	244	365	283	236	192	240	138	305	310	218	291	307	232
GWK60_F07997	4770	4116	1240	1101	828	1166	1771	685	1056	696	554	488	429	332	977	1197	1444	2110	3387	2676
GWK60_F08019	944	1069	864	848	1352	1061	1835	788	1456	1116	893	674	774	512	743	796	423	579	599	494
GWK60_F08041	1773	1679	512	444	521	475	845	282	549	794	557	453	629	390	895	1068	830	1285	1006	832
GWK60_F08063	1655	1624	702	691	739	719	1187	444	646	456	398	303	244	177	359	415	371	487	1335	875
GWK60_F08085	22531	19271	4449	3355	3236	3813	5183	2213	2863	2316	1774	1502	1696	1224	4198	4929	6259	9666	16146	13204
GWK60_F08107	942	850	739	693	936	801	1337	477	882	942	635	458	675	425	713	828	487	735	727	522
GWK60_F08129	52	66	84	77	90	73	160	59	81	85	71	56	76	41	119	103	47	67	38	33
GWK60_F08151	514	486	257	219	314	262	459	183	343	232	223	158	216	140	268	268	150	272	310	229
GWK60_F08173	457	409	349	349	442	466	645	252	501	298	277	197	277	176	235	313	165	262	307	215
GWK60_F08195	755	741	724	660	847	783	1551	572	1153	882	698	528	759	484	844	943	452	619	447	341
GWK60_F08217	1434	1404	1281	1290	1902	1489	3075	1007	1989	1733	1428	1026	1395	921	1495	1680	638	1047	836	598
GWK60_F08239	64	43	58	61	94	69	83	36	68	48	39	32	31	26	34	62	25	43	24	25
GWK60_F08261	565	544	545	606	959	676	815	393	687	579	443	328	441	335	513	622	230	501	234	182
GWK60_F08283	330	343	734	480	3014	635	786	408	1039	652	495	403	593	531	921	1112	32	76	12	19
GWK60_F08305	746	783	617	589	770	641	1173	403	685	581	475	338	481	298	611	715	416	644	495	358
GWK60_F08327	520	474	607	437	617	444	972	348	603	489	414	295	348	272	387	502	143	309	232	174
GWK60_F08349	7243	6623	4543	3180	6019	2997	4448	1688	3800	2725	2338	1939	2517	1935	3745	4688	2214	3415	2564	2069
GWK60_F08371	435	458	456	405	509	457	783	295	531	404	338	253	308	206	302	312	136	201	192	169
GWK60_F08393	257	213	148	143	175	178	383	117	242	203	125	117	124	82	122	164	97	118	125	114
GWK60_F08415	6	7	0	1	2	0	2	1	1	0	1	0	0	0	0	0	0	2	1	2
GWK60_F08437	1052	1204	1383	1340	1765	1320	2622	974	1878	2318	1847	1531	2131	1327	1561	1884	744	1144	544	427
GWK60_F08459	2654	2484	1177	1345	1444	1559	3028	1070	2206	2198	1830	1533	1859	1319	2173	2231	1128	1873	1712	1277
GWK60_F08481	1009	1033	831	716	1054	862	1871	676	1162	1151	915	683	1021	679	1219	1217	483	826	537	402
GWK60_F08503	476	400	215	209	198	244	333	123	189	90	71	65	68	34	58	75	61	96	190	139
GWK60_F08525	46531	40538	4797	2945	1742	3346	5136	1961	1867	1379	1079	930	1298	994	6034	6922	11030	15535	30923	25915
GWK60_F08547	845	774	186	180	172	226	423	188	292	377	315	236	341	241	439	507	308	472	483	371
GWK60_F08569	2461	1869	2485	1741	2196	2397	4736	1710	3168	2398	1941	1501	1957	1204	1432	1579	830	1329	1222	966
GWK60_F08591	569	521	336	333	456	348	616	281	516	349	294	236	309	228	361	450	240	442	388	294
GWK60_F08613	543	497	324	259	347	386	775	254	477	339	258	201	315	212	339	351	290	415	500	351
GWK60_F08635	0	0	2	8	8	2	1	2	5	0	3	2	2	1	10	5	0	0	1	0
GWK60_F08657	761	808	991	1092	1449	1204	2290	809	1823	2193	1749	1471	1987	1322	1622	1947	467	917	416	342
GWK60_F08679	500	565	1325	1076	1653	1242	2080	741	1085	953	906	602	900	541	841	849	331	579	521	319
GWK60_F08701	4454	3593	3961	3856	2213	3949	9819	3054	4529	2459	1841	1767	1674	894	2205	2055	1206	1884	3177	2420
GWK60_F08723	773	704	985	917	1100	1130	1947	731	1264	953	924	699	828	528	587	701	285	483	549	424
GWK60_F08745	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_G00011	2	1	2	1	0	3	2	0	1	3	0	0	1	0	1	1	0	1	1	0
GWK60_G00033	16	29	52	33	62	73	57	48	63	34	26	18	27	16	11	15	1	8	6	3
GWK60_G00055	6826	5559	1531	1309	1443	1408	2039	838	1208	765	592	448	461	284	721	826	1100	1538	4120	3291
GWK60_G00077	2447	2284	1089	1245	1939	1372	2629	1050	1975	1991	1499	1231	1754	1201	1938	2186	1036	1766	1324	1009
GWK60_G00099	8059	6765	7500	7703	12415	7530	11667	4847	8542	6689	4804	3655	4800	3106	5579	5687	2542	3926	3427	2841
GWK60_G00121	983	878	1067	1008	1594	1185	2024	818	1313	1044	848	699	880	714	983	1518	582	1359	526	634
GWK60_G00143	1623	1477	546	451	289	365	646	247	183	59	46	51	29	17	35	35	139	168	1175	826
GWK60_G00165	11721	10851	3386	3967	6994	3646	4242	2496	5502	6569	5069	4237	5090	3920	6650	8158	4022	6305	5445	3844
GWK60_G00187	0	0	7	7	7	3	0	1	2	3	2	0	2	0	1	1	0	1	0	0
GWK60_G00209	9482	7752	12896	11113	22179	13962	13311	6148	13488	9877	8192	6273	9903	6617	7598	8023	2831	4487	4201	3047
GWK60_G00231	213	181	99	77	114	102	141	58	89	59	51	31	36	20	23	31	19	39	108	88
GWK60_G00253	255	278	195	213	304	222	414	166	270	212	171	104	167	79	163	170	75	121	140	100
GWK60_G00275	655	552	553	541	496	525	893	318	535	385	359	260	335	180	313	336	225	390	365	324
GWK60_G00297	822	757	447	390	490	459	943	342	637	547	437	355	478	277	512	586	335	512	399	359
GWK60_G00319	803	704	766	731	857	799	1443	537	823	603	471	366	399	291	378	498	291	423	465	376
GWK60_G00341	2680	2357	962	1077	1178	1108	1849	714	1262	1126	908	732	857	578	1078	1251	798	1143	1575	1175
GWK60_G00363	5	1	6	11	23	20	29	9	13	7	4	6	12	0	5	7	2	2	2	0
GWK60_G00385	908	735	103	135	120	91	186	77	92	73	47	37	36	15	34	38	81	68	482	354
GWK60_G00407	792	847	902	780	915	897	1392	542	988	763	688	425	729	393	613	722	380	624	577	400
GWK60_G00429	943	909	931	983	1225	1031	1796	690	1145	960	794	492	732	417	779	791	461	750	691	506
GWK60_G00451	304	318	558	539	1038	660	791	380	680	555	388	259	405	302	358	445	165	325	158	123
GWK60_G00473	1671	1472	1811	1852	2346	1972	3708	1299	2121	1710	1406	1045	1288	831	1420	1602	760	1303	965	779
GWK60_G00495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_G00517	1432	1402	723	750	909	826	1318	507	933	696	575	495	542	382	597	693	356	602	1015	703
GWK60_G00539	1371	1345	443	601	846	593	1176	443	956	1004	758	710	891	608	1161	1156	648	939	954	750
GWK60_G00561	351	339	161	183	179	150	308	109	249	223	163	154	141	108	161	188	136	175	240	175
GWK60_G00583	1175	1235	715	1177	1604	823	1042	509	1061	991	727	647	566	468	957	1133	606	1055	754	618
GWK60_G00605	295	291	200	261	304	223	389	125	257	187	129	119	105	77	135	144	99	153	158	131
GWK60_G00627	0	0	0	2	0	0	2	1	1	1	1	0	0	1	0	1	0	1	1	0
GWK60_G00649	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0
