well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
C8	218-373-3	218-373-3	20355	19191	16962	411041.5	4659.5	849	5754.3	1107
C9	188-373-3	188-373-3	20397	18321	16854	431138	2024	23828.5	2579	30198.4
C10	232-555-1	232-555-1	17082	16071	14830	399035.5	1716.5	33369	2417.8	47579.7
C11	232-555-2	232-555-2	18074	17024	13497	364973	1538	28644	2318.2	45095.9
C12	232-555-3	232-555-3	18654	17601	16183	416644	1765	34285	2359.5	46773.1
D1	NA-555-1	yH555-1	15241	15120	13398	351199.5	594	424	924.8	655.3
D2	211-373-1	211-373-1	25991	25393	22356	391687	2338.5	9172.5	3422.2	15471.1
D3	211-373-2	211-373-2	20337	16665	13758	384284	3395	14264	5028.8	20876.3
D4	211-373-3	211-373-3	24521	21507	17187	385153	3440	15576	4984	22401.9
D5	NA-blank-2	blank2	2960	185	166	161633	950.5	465	3366.2	1719.2
D6	218-555-1	218-555-1	17665	17139	15858	397304	3108	682	3953.3	907.9
D7	218-555-2	218-555-2	16341	16010	14584	375625.5	2656	598	3596.7	848
D8	218-555-3	218-555-3	18358	17780	16172	393874	3510.5	689	4553.1	937
D9	NA-156-2	yH156-2	17325	17168	15326	371613.5	538	73	796.5	98.5
D10	232-373-1	232-373-1	18958	18131	16127	369078	1292	1122	1849	1650.4
D11	232-373-2	232-373-2	18269	17144	14903	347104	2149	1866	2791.9	2615.4
D12	232-373-3	232-373-3	18677	17820	15912	367369.5	1550.5	1323	2129.9	1894
E1	188-555-4	188-555-4	18433	17460	14558	371551.5	1503	17738	2253	26402.7
E2	213-555-1	213-555-1	16811	16298	14344	332825	1461	12966.5	2455.1	21988.9
E3	213-555-2	213-555-2	16287	15734	13813	336778	1456	13112	2401.4	21694
E4	213-555-3	213-555-3	17551	16673	14807	361630	1617	14406	2457.1	21961.7
E5	188-373-4	188-373-4	19094	18035	15159	340733	1419	15711	2305.1	25567.8
E6	220-373-1	220-373-1	18612	17935	15943	353723	1179	2058	1795	3110.3
E7	220-373-2	220-373-2	18446	17442	15363	358060	1181	2102	1748	3078
E8	220-373-3	220-373-3	17298	16372	14476	352659.5	1114	1890	1686.6	2804.3
E9	188-555-5	188-555-5	18463	17374	14487	360743	1414	18254	2170.9	28217.4
E10	234-555-1	234-555-1	32314	23691	17224	583476	1917	58520	1684.2	52692.7
E11	234-555-2	234-555-2	23186	14321	10109	636125	2202	70885	1732.6	57188.7
E12	234-555-3	234-555-3	18704	10964	7346	596440.5	2022	65758.5	1746.1	57959
F1	NA-373-2	yH373-2	18459	18124	15966	383636	604	666	859.3	937.1
F2	213-373-1	213-373-1	18798	18279	15651	328927	1405	11098	2369.3	18548.7
F3	213-373-2	213-373-2	19196	18323	15802	332336	1457.5	10928	2439.4	18046.3
F4	213-373-3	213-373-3	19823	18895	16464	349116	1523	11835.5	2379.3	18566.6
F5	NA-555-2	yH555-2	16125	15972	14364	351398	591	427	923.5	655.1
F6	220-555-1	220-555-1	17708	17026	15195	339546	1166	2045	1857	3240.4
F7	220-555-2	220-555-2	17848	17306	15647	344172	1120	1941	1740.6	2991.8
F8	220-555-3	220-555-3	18438	17720	16050	351915	1369	2786	2065.4	4339.5
F9	NA-blank-3	blank3	6274	418	359	151645	796	387	2903	1451.6
F10	234-373-1	234-373-1	19248	17897	14932	301272.5	2212	5103	4009.9	9388
F11	234-373-2	234-373-2	20261	18920	16978	342214	3071	7446	4773.5	11590.3
F12	234-373-3	234-373-3	21369	19580	16712	310862.5	2471.5	5940	4203.2	10502.7
G1	188-373-5	188-373-5	19370	18512	15857	355545	1431	14903	2216.2	23045.5
G2	215-555-1	215-555-1	17165	16700	15200	334770.5	2063	6181.5	3244	9584.8
G3	215-555-2	215-555-2	18568	18073	16295	334815	1796	5171	2858.9	8128.5
