Well	Cycle	ΔRn
B2	19	184525.65625
B2	20	186355.578125
B2	21	187721.921875
B2	22	189607.8125
B2	23	189831.9375
B2	24	191148.171875
B2	25	192287.359375
B2	26	192722.203125
B2	27	192850.046875
B2	28	193853.015625
B2	29	195092.34375
B2	30	194080.65625
B2	31	194968.421875
B2	32	195199.078125
B2	33	195451.46875
B2	34	195936.96875
B2	35	195847.75
B2	36	196024.390625
B2	37	196677.0625
B2	38	196844.46875
B2	39	196750.6875
B2	40	197075.046875
B3	1	-74.2719726563
B3	2	74.2719726563
B3	3	507.7924804688
B3	4	1189.5590820313
B3	5	2337.4047851563
B3	6	4614.1499023438
B3	7	8766.048828125
B3	8	16488.982421875
B3	9	30363.677734375
B3	10	54077.84765625
B3	11	88860.921875
B3	12	128926.015625
B3	13	160045.671875
B3	14	171857.828125
B3	15	177602.859375
B3	16	180906.765625
B3	17	184095.09375
B3	18	187268.296875
B3	19	188858.828125
B3	20	191174.734375
B3	21	191971.640625
B3	22	193759.171875
B3	23	194254.359375
B3	24	195532.15625
B3	25	197058.5
B3	26	197428.21875
B3	27	198346.78125
B3	28	200057.640625
B3	29	200017.1875
B3	30	200735.171875
B3	31	201619.9375
B3	32	201927.453125
B3	33	202954.796875
B3	34	203181.234375
B3	35	202966.890625
B3	36	203793.296875
B3	37	203729.453125
B3	38	203465.453125
B3	39	203684.359375
B3	40	204086.484375
B4	1	-36.6616210938
B4	2	36.6616210938
B4	3	129.4028320313
B4	4	390.0922851563
B4	5	745.9545898438
B4	6	1434.4389648438
B4	7	2704.7651367188
B4	8	5058.4721679688
B4	9	9338.771484375
B4	10	17497.341796875
B4	11	32449.455078125
B4	12	57155.95703125
B4	13	93343.1640625
B4	14	134515.546875
B4	15	165830.1875
B4	16	178655.25
B4	17	184591.5
B4	18	188868.90625
B4	19	192339.671875
B4	20	195230.578125
B4	21	197378
B4	22	199568.65625
B4	23	200949.34375
B4	24	201965.5625
B4	25	202941.59375
B4	26	204090.265625
B4	27	205818.21875
B4	28	206264.96875
B4	29	206788
B4	30	207570.15625
B4	31	208233.140625
B4	32	208584.65625
B4	33	210034.59375
B4	34	210192.21875
B4	35	211127.625
B4	36	212351.5
B4	37	211140.375
B4	38	212829.75
B4	39	212229.28125
B4	40	212362.78125
B5	1	-74.6123046875
B5	2	74.6123046875
B5	3	165.552734375
B5	4	234.3994140625
B5	5	311.01953125
B5	6	396.3232421875
B5	7	508.90625
B5	8	718.392578125
B5	9	1040.9306640625
B5	10	1774.1171875
B5	11	3047.576171875
B5	12	5670.71875
B5	13	10502.400390625
B5	14	19396.4609375
B5	15	35196.5703125
B5	16	60915.890625
B5	17	95907.5078125
B5	18	131944.390625
B5	19	153984.4375
B5	20	161511.78125
B5	21	165914.75
B5	22	169167.796875
B5	23	171740.25
B5	24	174519.390625
B5	25	176264.03125
B5	26	178160.90625
B5	27	179946.171875
B5	28	181746.484375
B5	29	182857.8125
B5	30	184046.078125
B5	31	185179.671875
B5	32	185612.484375
B5	33	186485
B5	34	187027.109375
B5	35	187656.890625
B5	36	188656.953125
B5	37	189206.59375
B5	38	189619.125
B5	39	189652.6875
B5	40	189897.453125
B6	1	
B6	2	
B6	3	
B6	4	
B6	5	
B6	6	
B6	7	
B6	8	
B6	9	
B6	10	
B6	11	
B6	12	
B6	13	
B6	14	
B6	15	
B6	16	
B6	17	
B6	18	
B6	19	
B6	20	
B6	21	
B6	22	
B6	23	
B6	24	
B6	25	
B6	26	
B6	27	
B6	28	
B6	29	
B6	30	
B6	31	
B6	32	
B6	33	
B6	34	
B6	35	
B6	36	
B6	37	
B6	38	
B6	39	
B6	40	
B7	1	
B7	2	
B7	3	
B7	4	
B7	5	
B7	6	
B7	7	
B7	8	
B7	9	
B7	10	
B7	11	
B7	12	
B7	13	
B7	14	
B7	15	
B7	16	
B7	17	
B7	18	
B7	19	
B7	20	
B7	21	
B7	22	
B7	23	
B7	24	
B7	25	
B7	26	
B7	27	
B7	28	
B7	29	
B7	30	
B7	31	
B7	32	
B7	33	
B7	34	
B7	35	
B7	36	
B7	37	
B7	38	
B7	39	
B7	40	
B8	1	
B8	2	
B8	3	
B8	4	
B8	5	
B8	6	
B8	7	
B8	8	
B8	9	
B8	10	
B8	11	
B8	12	
B8	13	
B8	14	
B8	15	
B8	16	
B8	17	
B8	18	
B8	19	
B8	20	
B8	21	
B8	22	
B8	23	
B8	24	
B8	25	
B8	26	
B8	27	
B8	28	
B8	29	
B8	30	
B8	31	
B8	32	
B8	33	
B8	34	
B8	35	
B8	36	
B8	37	
B8	38	
B8	39	
B8	40	
B9	1	
B9	2	
B9	3	
B9	4	
B9	5	
B9	6	
B9	7	
B9	8	
B9	9	
B9	10	
B9	11	
B9	12	
B9	13	
B9	14	
B9	15	
B9	16	
B9	17	
B9	18	
B9	19	
B9	20	
B9	21	
B9	22	
B9	23	
B9	24	
B9	25	
B9	26	
B9	27	
B9	28	
B9	29	
B9	30	
B9	31	
B9	32	
B9	33	
B9	34	
B9	35	
B9	36	
B9	37	
B9	38	
B9	39	
B9	40	
B10	1	
B10	2	
B10	3	
B10	4	
B10	5	
B10	6	
B10	7	
B10	8	
B10	9	
B10	10	
B10	11	
B10	12	
B10	13	
B10	14	
B10	15	
B10	16	
B10	17	
B10	18	
B10	19	
B10	20	
B10	21	
B10	22	
B10	23	
B10	24	
B10	25	
B10	26	
B10	27	
B10	28	
B10	29	
B10	30	
B10	31	
B10	32	
B10	33	
B10	34	
B10	35	
B10	36	
B10	37	
B10	38	
B10	39	
B10	40	
B11	1	
B11	2	
B11	3	
B11	4	
B11	5	
B11	6	
B11	7	
B11	8	
B11	9	
B11	10	
B11	11	
B11	12	
B11	13	
B11	14	
B11	15	
B11	16	
B11	17	
B11	18	
B11	19	
B11	20	
B11	21	
B11	22	
B11	23	
B11	24	
B11	25	
B11	26	
B11	27	
B11	28	
B11	29	
B11	30	
B11	31	
B11	32	
B11	33	
B11	34	
B11	35	
B11	36	
B11	37	
B11	38	
B11	39	
B11	40	
B12	1	
B12	2	
B12	3	
B12	4	
B12	5	
B12	6	
B12	7	
B12	8	
B12	9	
B12	10	
B12	11	
B12	12	
B12	13	
B12	14	
B12	15	
B12	16	
